LineID,FromSequence,ToSequence,FromStationID,FromStationName_rainMap,ToStationID,ToStationName_rainMap,SegmentLengthKM_rainMap,MidLat_rainMap,MidLon_rainMap,Nearest_RAIN_StationId,Nearest_RAIN_StationName,DistTo_RAIN_KM,RAIN_ObsTime,RainStationName,RainObsTime,RainNow,RainPast10Min,RainPast1Hr,RainPast3Hr,RainPast6Hr,RainPast24Hr,FromStationName_wxMap,ToStationName_wxMap,SegmentLengthKM_wxMap,MidLat_wxMap,MidLon_wxMap,Nearest_WEATHER_StationId,Nearest_WEATHER_StationName,DistTo_WEATHER_KM,WEATHER_ObsTime,WxStationName,WxObsTime,WindSpeed,WindDirection,PeakGustSpeed,AirTemperature,RelativeHumidity,VisibilityDescription
EL,0,1,920,八堵,7390,暖暖,1.6,25.105345,121.734675,C0B060,暖暖,1.209,2026-02-23T20:30:00+08:00,暖暖,2026-02-24T15:50:00+08:00,0.0,0.0,0.0,0.0,0.0,0.0,八堵,暖暖,1.6,25.105345,121.734675,CAB010,國一S001K,1.317,2026-02-23T20:30:00+08:00,國一S001K,2026-02-24T15:50:00+08:00,1.1,330.0,4.0,22.2,86.0,11-15
EL,1,2,7390,暖暖,7380,四腳亭,2.3,25.10256,121.75113,C0B060,暖暖,1.328,2026-02-23T20:30:00+08:00,暖暖,2026-02-24T15:50:00+08:00,0.0,0.0,0.0,0.0,0.0,0.0,暖暖,四腳亭,2.3,25.10256,121.75113,CAB010,國一S001K,2.706,2026-02-23T20:30:00+08:00,國一S001K,2026-02-24T15:50:00+08:00,1.1,330.0,4.0,22.2,86.0,11-15
EL,2,3,7380,四腳亭,7360,瑞芳,5.0,25.105870000000003,121.784095,C2A660,瑞芳,1.898,2026-02-23T20:30:00+08:00,瑞芳,2026-02-24T15:50:00+08:00,0.0,0.0,0.0,0.0,0.0,0.0,四腳亭,瑞芳,5.0,25.105870000000003,121.784095,C2A660,瑞芳,1.899,2026-02-23T20:30:00+08:00,瑞芳,2026-02-24T15:50:00+08:00,0.5,130.0,2.7,22.8,80.0,-99
EL,3,4,7360,瑞芳,7350,猴硐,4.6,25.097975,121.816835,NUP810,員山子,1.141,2026-02-23T20:30:00+08:00,員山子,2026-02-24T15:50:00+08:00,0.0,0.0,0.0,0.0,0.0,0.0,瑞芳,猴硐,4.6,25.097975,121.816835,C2A660,瑞芳,2.313,2026-02-23T20:30:00+08:00,瑞芳,2026-02-24T15:50:00+08:00,0.5,130.0,2.7,22.8,80.0,-99
EL,4,5,7350,猴硐,7330,三貂嶺,2.5,25.076285,121.825,01AF90,三貂嶺,1.915,2026-02-23T20:30:00+08:00,三貂嶺,2026-02-24T15:50:00+08:00,0.0,0.0,0.0,0.0,0.0,0.0,猴硐,三貂嶺,2.5,25.076285,121.825,C2A660,瑞芳,4.753,2026-02-23T20:30:00+08:00,瑞芳,2026-02-24T15:50:00+08:00,0.5,130.0,2.7,22.8,80.0,-99
EL,5,6,7330,三貂嶺,7320,牡丹,3.5,25.062130000000003,121.83727,01AF90,三貂嶺,1.708,2026-02-23T20:30:00+08:00,三貂嶺,2026-02-24T15:50:00+08:00,0.0,0.0,0.0,0.0,0.0,0.0,三貂嶺,牡丹,3.5,25.062130000000003,121.83727,C2A660,瑞芳,6.741,2026-02-23T20:30:00+08:00,瑞芳,2026-02-24T15:50:00+08:00,0.5,130.0,2.7,22.8,80.0,-99
EL,6,7,7320,牡丹,7310,雙溪,3.3999999999999986,25.04861,121.859255,C0A890,雙溪,1.489,2026-02-23T20:30:00+08:00,雙溪,2026-02-24T15:50:00+08:00,0.0,0.0,0.0,0.0,0.0,0.0,牡丹,雙溪,3.3999999999999986,25.04861,121.859255,C2A880,福隆,9.019,2026-02-23T20:30:00+08:00,福隆,2026-02-24T15:50:00+08:00,0.6,150.0,2.2,22.0,83.0,-99
EL,7,8,7310,雙溪,7300,貢寮,5.300000000000001,25.03024,121.887665,C0A890,雙溪,2.445,2026-02-23T20:30:00+08:00,雙溪,2026-02-24T15:50:00+08:00,0.0,0.0,0.0,0.0,0.0,0.0,雙溪,貢寮,5.300000000000001,25.03024,121.887665,C2A880,福隆,5.654,2026-02-23T20:30:00+08:00,福隆,2026-02-24T15:50:00+08:00,0.6,150.0,2.2,22.0,83.0,-99
EL,8,9,7300,貢寮,7290,福隆,3.8000000000000007,25.01896,121.92675,C2A880,福隆,1.55,2026-02-23T20:30:00+08:00,福隆,2026-02-24T15:50:00+08:00,0.0,0.0,0.0,0.0,0.0,0.0,貢寮,福隆,3.8000000000000007,25.01896,121.92675,C2A880,福隆,1.55,2026-02-23T20:30:00+08:00,福隆,2026-02-24T15:50:00+08:00,0.6,150.0,2.2,22.0,83.0,-99
EL,9,10,7290,福隆,7280,石城,5.399999999999999,24.997135,121.94489,C0UA90,石城,1.962,2026-02-23T20:30:00+08:00,石城,2026-02-24T15:50:00+08:00,0.0,0.0,0.0,0.0,0.0,0.0,福隆,石城,5.399999999999999,24.997135,121.94489,C2A880,福隆,2.32,2026-02-23T20:30:00+08:00,福隆,2026-02-24T15:50:00+08:00,0.6,150.0,2.2,22.0,83.0,-99
